column,"螺纹钢（Φ16-25mm,HRB400）_fixed_GR","线材（Φ6.5mm,HPB300）_fixed_GR","普通中板（20mm,Q235）_fixed_GR","热轧普通薄板（3mm,Q235）_fixed_GR","无缝钢管（219*6,20#）_fixed_GR",角钢（5#）_fixed_GR,电解铜（1#）_fixed_GR,铝锭（A00）_fixed_GR,铅锭（1#）_fixed_GR,锌锭（0#）_fixed_GR,硫酸（98%）_fixed_GR,烧碱(液碱，32%)_fixed_GR,甲醇（优等品）_fixed_GR,纯苯（石油苯，工业级）_fixed_GR,苯乙烯（一级品）_fixed_GR,聚乙烯（LLDPE，7042）_fixed_GR,聚丙烯（T30S）_fixed_GR,聚氯乙烯（SG5）_fixed_GR,顺丁胶（BR9000）_fixed_GR,涤纶长丝（FDY150D/96F）_fixed_GR,液化天然气（LNG）_fixed_GR,液化石油气（LPG）_fixed_GR,汽油（97#）_fixed_GR,汽油（93#）_fixed_GR,柴油（0#）_fixed_GR,石蜡（58#半）_fixed_GR,无烟煤（2号洗中块）_fixed_GR,普通混煤（4500大卡）_fixed_GR,山西大混（5000大卡）_fixed_GR,山西优混（5500大卡）_fixed_GR,大同混煤（5800大卡）_fixed_GR,焦煤（1/3焦煤）_fixed_GR,焦炭（二级冶金焦）_fixed_GR,复合硅酸盐水泥（P.C 32.5袋装）_fixed_GR,普通硅酸盐水泥（P.O 42.5散装）_fixed_GR,浮法平板玻璃（4.8/5mm）_fixed_GR,稻米（粳稻米）_fixed_GR,小麦（国标三等）_fixed_GR,玉米（黄玉米二等）_fixed_GR,棉花（皮棉，白棉三级）_fixed_GR,生猪（外三元）_fixed_GR,大豆（黄豆）_fixed_GR,豆粕（粗蛋白含量≥43%）_fixed_GR,花生（油料花生米）_fixed_GR,尿素（小颗料）_fixed_GR,复合肥（硫酸钾复合肥）_fixed_GR,农药(草甘膦，95%原药）_fixed_GR,纸浆（漂白化学浆）_fixed_GR,瓦楞纸（高强）_fixed_GR,黑色金属GR,有色金属GR,化工产品GR,石油天然气GR,煤炭GR,非金属建材GR,农产品GR,农业生产资料GR,林产品GR,总增长率9
"螺纹钢（Φ16-25mm,HRB400）_fixed_GR",1.0000000000000002,0.9900903327260308,0.8665965240029487,0.8463812018906288,0.9101044082840566,0.9580051365442177,0.7328949454856217,0.6775370159910757,0.6787201809054324,0.7138838800117888,0.6358017157864632,0.5028114799116478,0.5772253406001763,0.5562530201315464,0.40259417801358754,0.4092571837810363,0.49454512534308004,0.6604260485917189,0.5896628726889274,0.5115122160136973,0.495367633864427,0.5060268225271329,0.4932671320756784,0.5077762376206982,0.5874793781887774,0.4094647126524113,0.7740172321917326,0.7056625746290365,0.7442755033472612,0.8209374302544826,0.7333573220372958,0.7974567252583901,0.7827894343603254,0.8175602618161053,0.814865970927276,0.7569262352357563,0.5378077683878073,0.540073893476716,0.6687392445685226,0.6570282841082942,0.3714297188326362,0.5879352338234789,0.5224238674701619,0.48793364626658836,0.7592304657994826,0.6808516142326055,0.7130104306749644,0.6857134217839885,0.8150256435478296,0.9657921762434283,0.7653120490020343,0.6413287349925983,0.5501427894683977,0.8117796299276296,0.7869917850982329,0.568606733685947,0.7955785974412585,0.8150256435478296,0.893256935105369
"线材（Φ6.5mm,HPB300）_fixed_GR",0.9900903327260308,1.0000000000000002,0.9073481985962685,0.8770884611206154,0.9757018435173979,1.0000000000000002,0.7720152020863141,0.691083122789231,0.6787201809054324,0.6845162037042393,0.6046540519839135,0.5148435682472787,0.5736758255813422,0.5643927298049328,0.4113389825896896,0.3897940965317031,0.5280254428840871,0.6829230510183684,0.5723957323680421,0.4536673332326297,0.5106883135856477,0.5417155022875602,0.5373672516895525,0.5510396995712464,0.6680861719931372,0.4566392135375396,0.8267106495616716,0.7195504933704945,0.7313318703590295,0.80900436044595,0.7187673059159665,0.7974567252583901,0.7827894343603254,0.8251801554678464,0.8242283182341952,0.7720709220082103,0.5337251761453975,0.5088041022091621,0.6668928445153548,0.6158682963862665,0.3044479509340588,0.5822715290056643,0.5326183863793649,0.45975914069116547,0.805845836684402,0.7150446161976448,0.7704311918749336,0.6400578790013234,0.8150256435478296,1.0000000000000002,0.7459853745195784,0.5695891788957328,0.5541686498266789,0.798277779528121,0.7820512894357642,0.5795807732778783,0.8590101476886663,0.8224931486300332,0.9091326441408635
"普通中板（20mm,Q235）_fixed_GR",0.8665965240029487,0.9073481985962685,1.0000000000000002,0.9440589245169305,0.9229184678853264,0.9114057896291704,0.882244132703233,0.7108598411633086,0.6787201809054324,0.7845473117547799,0.5761578139384548,0.5841327141845365,0.6012804524691916,0.7025446699680306,0.5513217805891735,0.5447791407001464,0.4444127081757437,0.738812024752191,0.6590897330003539,0.5160461824300359,0.4538560690814918,0.6116154711159235,0.5598056525429832,0.591729086630093,0.648218001405681,0.556015580966536,0.7901183549111139,0.7195504933704945,0.7317006563932404,0.7532395277927308,0.7155387849857381,0.829599251223422,0.7827894343603254,0.7960043269482125,0.7910275464881703,0.7920771137181355,0.7278633131003186,0.5389647665208803,0.6360075299678446,0.6871872145242482,0.4830393798908377,0.6475475949057435,0.5218212160691479,0.5751054057823144,0.7681512062576203,0.6614035878128861,0.7301612533072209,0.7101087725915278,0.8367397398517578,0.9535263146095542,0.7733584080947703,0.6486889087527742,0.595008740100769,0.7975770352058719,0.7975770352058719,0.6260424021937454,0.8194154535514775,0.8420440899619782,0.8819389028372436
"热轧普通薄板（3mm,Q235）_fixed_GR",0.8463812018906288,0.8770884611206154,0.9440589245169305,1.0000000000000002,0.8528861684276133,0.8806142378809853,0.8581473945320259,0.7214877329486197,0.6984752562191996,0.7342422997802072,0.5351230621228938,0.5622603432354959,0.5666390480637515,0.6299374451939114,0.5265277368716004,0.4607079045869674,0.4853972392038653,0.7547727094216315,0.6361415950389325,0.4614867781433069,0.45193339485545825,0.5063435650433954,0.4867394943962432,0.5420393177050598,0.6316571472662006,0.5010164685299243,0.6967641159428829,0.7293563976620434,0.7208310573595921,0.7208310573595921,0.7219256412880378,0.8244859818435232,0.7975770352058719,0.7779838666053615,0.7552135535820396,0.7901341456427173,0.6931389365120058,0.4578567737464069,0.6730059393708858,0.617429306267564,0.4204801997149772,0.6654900720899494,0.5118365436643074,0.482104288864672,0.6672727829490941,0.5456838943227259,0.7646429402304371,0.6778154631044973,0.8307340226801415,0.9289023768869823,0.7986523139348911,0.6155502831400967,0.5615666518035363,0.7975770352058719,0.7975770352058719,0.5937660638547304,0.7224054930833232,0.8150302239746914,0.8673587088072362
"无缝钢管（219*6,20#）_fixed_GR",0.9101044082840566,0.9757018435173979,0.9229184678853264,0.8528861684276133,1.0000000000000002,1.0000000000000002,0.865275332669535,0.694632030964245,0.6858954081612464,0.8428858599384247,0.683615568320072,0.6015761719395145,0.7661198511492864,0.7416662817135128,0.6270541929450195,0.6163880968394746,0.64324656997521,0.6602983944039214,0.7334827636732014,0.6086370312842869,0.5107759402804768,0.6379432593067266,0.6674946730864902,0.7051302017138465,0.8002925222184228,0.622602964626494,0.9131691888941815,0.7540695407771607,0.7780623482905188,0.884382911869282,0.7720286271346479,0.8765393862654017,0.7688203803281998,0.8251801554678464,0.814865970927276,0.8655309595935313,0.7692776316338784,0.7204577070730266,0.6833868461230412,0.8189133515449141,0.6488410367038944,0.6409667286724262,0.49351236678644506,0.5547201045073867,0.8460157801755664,0.7975696871159399,0.793235812133949,0.8849974660985793,0.8295120860777072,0.9801806654520615,0.9173365108224961,0.8124623221813566,0.7392942123193299,0.7671676125717628,0.7820512894357642,0.676994812421576,0.9107406704948814,0.938492340422205,0.9129871605217966
角钢（5#）_fixed_GR,0.9580051365442177,1.0000000000000002,0.9114057896291704,0.8806142378809853,1.0000000000000002,1.0000000000000002,0.8107445062132669,0.7040772022905769,0.6761425099258949,0.7545650327233746,0.6579509131018634,0.5911530695974996,0.6951437956683402,0.7354026867195466,0.5235225359112009,0.5746731940641907,0.5739288720659964,0.6901483179776596,0.7252419449326634,0.5716368004449571,0.5335759571438603,0.6217892370715726,0.6632748066550224,0.6464067684167293,0.7455789055105284,0.5615012976713436,0.8932916618635917,0.771534848452231,0.7363696948022891,0.9025218960238074,0.7858275860312585,0.8568214757305056,0.7813293180351807,0.8177126503856427,0.8141820680746634,0.8919652006253105,0.7736081151374404,0.6611746821466684,0.6801827732278105,0.7081073007223803,0.4920945873555104,0.6170464062576849,0.5443415024034086,0.5444038110327202,0.8732543403601544,0.8026716227615719,0.807347716342958,0.7855428234906543,0.8224931486300332,1.0000000000000002,0.7898507544735941,0.6991155403236755,0.6761954882464023,0.8177936338708525,0.7916809829629978,0.7260313219747851,0.968507598913081,0.8610709337879012,0.9406250452277823
电解铜（1#）_fixed_GR,0.7328949454856217,0.7720152020863141,0.882244132703233,0.8581473945320259,0.865275332669535,0.8107445062132669,1.0000000000000002,0.749999191428995,0.6663482400714821,0.661938709718201,0.582044063439412,0.5366628266192845,0.5692036611446896,0.6205012681566439,0.4636054284771596,0.3460376552927854,0.4421502945569379,0.7075861629542805,0.5345329772432841,0.5110217501586686,0.4699204517330528,0.6266626929202677,0.4145104523798641,0.6168980296739953,0.6631166216653575,0.4961949617358005,0.6888797625351687,0.727297012622005,0.6745658139075393,0.6838904120391119,0.7034239944734589,0.6645011546396496,0.6496560237162227,0.6225490991585698,0.6196209023719969,0.7490128510419792,0.5652868265658292,0.5181127051530713,0.7058537064491689,0.6296728437645214,0.5036208370977369,0.7247964757272863,0.49382563389660694,0.38306004724340953,0.635447398348882,0.5121506722374729,0.7452603277871089,0.7115149438655233,0.7609064482082024,0.8204290370314836,0.750726575215811,0.6418496355424982,0.6034130936422606,0.6862266589618563,0.6761399268376984,0.5752772587579857,0.7360365892122442,0.7912207035401477,0.797472059911008
铝锭（A00）_fixed_GR,0.6775370159910757,0.691083122789231,0.7108598411633086,0.7214877329486197,0.694632030964245,0.7040772022905769,0.749999191428995,1.0000000000000002,0.6240061016567331,0.6062537446552761,0.54908060713229,0.4962429906330789,0.4750145092553564,0.48604250075308336,0.3306669212510733,0.38978423043103627,0.360486533998456,0.7132226458402744,0.4740485851217541,0.4138968511353566,0.36278552286262544,0.46073241574156354,0.4483814475475571,0.5637677396682533,0.5656807821438298,0.4168485679075461,0.5472290353446632,0.6514261126116109,0.6615109693078692,0.6675749006139238,0.6524174146186256,0.6693723444745697,0.5923478704650122,0.6240627685284269,0.5836140001253491,0.770547773493456,0.5425189452714926,0.5674826933968602,0.6564690483068053,0.5697623171479155,0.4289989760145073,0.647293423110111,0.4399313105547693,0.3808914694096618,0.5857082796118115,0.5110388425196555,0.6681981806861457,0.46895339447983314,0.5548373683701043,0.7568108721755631,0.7561693339978691,0.5400415835116077,0.47395402881959087,0.6405357647050469,0.6590017748096698,0.4825155557053046,0.5985176212879052,0.6075419427080629,0.7065918220610454
铅锭（1#）_fixed_GR,0.6787201809054324,0.6787201809054324,0.6787201809054324,0.6984752562191996,0.6858954081612464,0.6761425099258949,0.6663482400714821,0.6240061016567331,1.0000000000000002,0.7876897806454958,0.3670678236018194,0.7713734341336561,0.5100555007648995,0.5313636961791033,0.3989667983385018,0.5521932377253966,0.4668613046841621,0.7146738477594013,0.560730881448755,0.6540204654637861,0.3052147041204031,0.4244403345716233,0.3038150193006303,0.36713018888263854,0.4193966124044226,0.43737245919573586,0.5562868942755049,0.7917563379650635,0.8035511417527276,0.8132332351759985,0.7765697929681689,0.7925937345945028,0.7869162661481516,0.7744334270093216,0.6643673616461852,0.7634303737869331,0.7240105921439627,0.3666474909561383,0.5699686189617836,0.6193484854135672,0.3766735864881365,0.5591298414783777,0.372011639485981,0.5811234446220742,0.4380119074984879,0.633883914040292,0.5596577179249116,0.6400730117722575,0.7202236307339892,0.6869631051298659,0.7879862556002423,0.6376372141259529,0.3735207605312302,0.7213481500649318,0.786991479658164,0.6841685399257427,0.4726129765381779,0.6961125036734421,0.7269619644303185
锌锭（0#）_fixed_GR,0.7138838800117888,0.6845162037042393,0.7845473117547799,0.7342422997802072,0.8428858599384247,0.7545650327233746,0.661938709718201,0.6062537446552761,0.7876897806454958,1.0000000000000002,0.5851043290363208,0.7336633217445537,0.7558957769916381,0.6564748366664019,0.5078660020383012,0.4122405791885409,0.42218246018213573,0.6845718597105229,0.6492175032579413,0.5638508276726371,0.4868026243732994,0.4862745320184408,0.33195143299928137,0.4585148192979953,0.5358650260765954,0.5602198766696183,0.7451099245923318,0.8426551693932599,0.8462413623071497,0.8457883174907098,0.8687639782437508,0.7920373182886683,0.6751039801778044,0.636204873173067,0.5779664434636446,0.6838055398152414,0.5241406975835483,0.5825948823654701,0.7155977293531274,0.9189592625432345,0.6464809804699141,0.5092906531681065,0.29542907261562823,0.5099407902093626,0.5889577235131651,0.6515865912736525,0.5787412570974586,0.8817696501990012,0.8180651285362514,0.7731240340306554,0.9467377947934927,0.8035049870411718,0.49825223280912617,0.6846991907552653,0.6422612726549767,0.42308274442937177,0.6868076488164176,0.8622625628642735,0.8084793303897787
