,newsID,secID,equType,assetClass,ticker,secShortName,exchangeCD,partyID,newsPublishTime,newsInsertTime,degreeProp1St,degreeProp2St,relatedCompanyDegree,relatedCompanyScore,sentiment,sentimentScore,updateTime,newsTitle,newsSummary,newsOriginSource,newsAuthor,newsPublishSite,splitTile,splitSummary
0,81483936,603899.XSHG,A,E,603899,晨光文具,XSHG,67053,2021-01-01 07:44:34,2021-01-01 07:44:40,0.033936150372,0.885402798653,2,0.902370873839,0,0.0287523448467,2021-01-01 07:44:43,晨光文具：融资净偿还242.06万元，融资余额9054.19万元（12-31）,2020年12月31日晨光文具融资净偿还242.06万元，融资余额9054.19万元,东方财富Choice数据,财智星,东方财富网,"晨光文具,融资,净,偿还,242.06,万元,融资,余额,9054.19,万元,12,31","2020,年,12,月,31,日,晨光文具,融资,净,偿还,242.06,万元,融资,余额,9054.19,万元"
1,81485864,603899.XSHG,A,E,603899,晨光文具,XSHG,67053,2021-01-01 08:04:17,2021-01-01 08:04:23,6.28818270343e-06,0.999992966652,2,0.999996110743,0,-0.00399886369705,2021-01-01 08:04:27,晨光文具(603899)融资融券信息(12-31),晨光文具(603899)融资融券信息(12-31),东方财富Choice数据,,东方财富网,"晨光文具,603899,融资,融券,信息,12,31","晨光文具,603899,融资,融券,信息,12,31"
2,81557599,603899.XSHG,A,E,603899,晨光文具,XSHG,67053,2021-01-04 13:18:22,2021-01-04 13:18:23,0.382796853781,0.60882127285,2,0.80021969974,1,0.830545452237,2021-01-04 13:18:23,晨光文具股价拉升5.00% 股价创历史新高,2021年01月04日下午盘13时15分，晨光文具出现异动，股价大幅拉升5.00%，创历史新高。最新的三季报显示，该股于2020年9月30日实现稀释每股收益0.99元，营业利润10.06亿元，基本每股收益0.99元，市盈率68.60。,自选股智能写手,,腾讯网,"晨光文具,股价,拉升,5.00%,股价,创,历史,新高","2021,年,01,月,04,日,下午,盘,13,时,15,分,晨光文具,出现,异动,股价,大幅,拉升,5.00%,创,历史,新高,最新,三,季报,显示,股于,2020,年,9,月,30,日,实现,稀释,每股,收益,0.99,元,营业,利润,10.06,亿元,基本,每股,收益,0.99,元,市盈率,68.60"
3,81557716,603899.XSHG,A,E,603899,晨光文具,XSHG,67053,2021-01-04 13:20:28,2021-01-04 13:20:31,0.00525733595714,0.991604924202,2,0.994233592181,0,0.115894140303,2021-01-04 13:20:31,晨光文具大涨,晨光文具大涨，截止13：15，报价92.99元，涨幅5%，成交22064手，成交量2亿元，换手率0.24%。资金流向方面，呈现主力资金净流入状态，特大单买入0.2186亿元，占比10.92%，卖出0.1039亿元，占比5.19%。,新浪财经,,新浪财经,"晨光文具,大涨","晨光文具,大涨,截止,13,15,报价,92.99,元,涨幅,5%,成交,22064,手,成交量,2,亿元,换手率,0.24%,资金,流向,方面,呈现,主力,资金,净流入,状态,特大,单,买入,0.2186,亿元,占,10.92%,卖出,0.1039,亿元,占,5.19%"
4,81568988,603899.XSHG,A,E,603899,晨光文具,XSHG,67053,2021-01-04 16:04:44,2021-01-04 16:04:46,0.0106147555634,0.989076256752,2,0.994383634534,1,0.650752678514,2021-01-04 16:04:52,晨光文具01月04日继续上涨，股价创历史新高,截至今日收盘，晨光文具上涨3.32%，收盘价为91.50元，盘中股价最高触及93.19元，股价创历史新高。晨光品牌已经在消费者心中建立了良好的品牌认知，连续十二年成为博鳌亚洲论坛指定文具品牌。,同花顺AI资讯社,,同花顺,"晨光文具,01,月,04,日,继续,上涨,股价,创,历史,新高","截至,今日,收盘,晨光文具,上涨,3.32%,收盘价,91.50,元,盘中,股价,最高,触及,93.19,元,股价,创,历史,新高,晨光,品牌,已经,消费者,心中,建立,良好,品牌,认知,连续,十二年,成为,博鳌,亚洲,论坛,指定,文具,品牌"
5,81598538,603899.XSHG,A,E,603899,晨光文具,XSHG,67053,2021-01-05 02:30:21,2021-01-05 02:30:22,0.0141292400658,0.981666266918,2,0.988730886951,0,0.00683100000024,2021-01-05 02:30:27,上海晨光文具股份有限公司 关于使用部分闲置自有资金 进行投资理财的实施公告,上海晨光文具股份有限公司于2020年4月10日召开第四届董事会第二十次会议审议通过了《关于使用部分闲置自有资金进行投资理财的议案》，同意公司及子公司使用最高额度不超过人民币160，000万元的闲置自有资金进行投资理财。,证券日报,,新浪财经,"上海,晨光文具,股份,有限公司,使用,部分,闲置,自有,资金,进行,投资,理财,实施,公告","上海,晨光文具,股份,有限公司,2020,年,4,月,10,日,召开,第四届,董事会,第二十次,会议,审议,使用,部分,闲置,自有,资金,进行,投资,理财,议案,同意,公司,子公司,使用,最高,额度,不,超过,人民币,160,000,万元,闲置,自有,资金,进行,投资,理财"
6,81604509,603899.XSHG,A,E,603899,晨光文具,XSHG,67053,2021-01-05 07:45:46,2021-01-05 07:45:56,0.0337091386318,0.888816297054,2,0.90567086637,1,0.695094885677,2021-01-05 07:46:00,晨光文具：融资净买入321.79万元，融资余额9375.98万元（01-04）,2021年1月4日晨光文具融资净买入321.79万元，融资余额9375.98万元,东方财富Choice数据,财智星,东方财富网,"晨光文具,融资,净,买入,321.79,万元,融资,余额,9375.98,万元,01,04","2021,年,1,月,4,日,晨光文具,融资,净,买入,321.79,万元,融资,余额,9375.98,万元"
7,81607160,603899.XSHG,A,E,603899,晨光文具,XSHG,67053,2021-01-05 08:08:51,2021-01-05 08:09:55,0.000260157044977,0.999683141708,2,0.999813220231,1,0.585225154459,2021-01-05 08:09:58,晨光文具：1月4日融资净买入321.79万元 上一交易日净偿还242.06万元,1月4日融资买入1289.12万元，融资偿还967.33万元，融资净买入321.79万元，当前融资余额为9375.98万元。晨光文具1月4日融资融券余额较昨日增加344.16万元至1.04亿元。,同花顺金融研究中心,,同花顺,"晨光文具,1,月,4,日,融资,净,买入,321.79,万元,上,交易日,净,偿还,242.06,万元","1,月,4,日,融资,买入,1289.12,万元,融资,偿还,967.33,万元,融资,净,买入,321.79,万元,当前,融资,余额,9375.98,万元,晨光文具,1,月,4,日,融资,融券,余额,昨日,增加,344.16,万元,1.04,亿元"
8,81613589,603899.XSHG,A,E,603899,晨光文具,XSHG,67053,2021-01-05 09:18:53,2021-01-05 09:19:04,0.000176990637556,0.99970549345,2,0.999793988769,-1,-0.546356868744,2021-01-05 09:19:17,晨光文具连续5日遭北上资金净卖出，累计卖出1.84亿元,晨光文具01月04日陆股通净卖出2860.49万元。晨光文具近5日陆股通资金呈现持续卖出状态，近5日北上资金累计净卖出1.84亿元，外资近期有持续流出的迹象。,同花顺AI资讯社,,同花顺,"晨光文具,连续,5,日,遭,北上,资金,净,卖出,累计,卖出,1.84,亿元","晨光文具,01,月,04,日陆股,通净,卖出,2860.49,万元,晨光文具,近,5,日陆,股通,资金,呈现,持续,卖出,状态,近,5,日,北上,资金,累计,净,卖出,1.84,亿元,外资,近期,持续,流出,迹象"
9,81641321,603899.XSHG,A,E,603899,晨光文具,XSHG,67053,2021-01-05 15:54:09,2021-01-05 15:54:10,3.09587303491e-05,0.999968409538,2,0.999983888903,-1,-0.927339816093,2021-01-05 15:54:20,晨光文具(603899.SH)：5名股东及董事拟合计减持不超1840万股,公司股东科迎投资因自身资金需求，拟自该公告披露之日起的3个交易日后6个月内，通过大宗交易的方式减持公司无限售条件流通股不超过438.75万股，即不超过总股本的0.47%，减持价格按市场价格确定。,格隆汇,,金融界,"晨光文具,603899,SH,5,名,股东,董事,拟,合计,减持,不超,1840,万股","公司,股东,科迎,投资,资金,需求,拟,自该,公告,披露,之日起,3,交易日,后,6,月,内,大宗,交易,方式,减持,公司,无限,售,条件,流通股,不,超过,438.75,万股,不,超过,总,股本,0.47%,减持,价格,市场,价格,确定"
