,newsID,secID,equType,assetClass,ticker,secShortName,exchangeCD,partyID,newsPublishTime,newsInsertTime,degreeProp1St,degreeProp2St,relatedCompanyDegree,relatedCompanyScore,sentiment,sentimentScore,updateTime,newsTitle,newsSummary,newsOriginSource,newsAuthor,newsPublishSite
1,81488386,601009.XSHG,A,E,601009,南京银行,XSHG,1904,2021-01-01 10:20:23,2021-01-01 10:20:24,0.999899625778,2.41846373683e-06,1,0.499952231353,0,0.0197345077991,2021-01-01 10:20:27,上市以来首次！这家股份行14名董监高集体增持自家股票 什么情况？2021年银行股能否崛起？,中信银行披露了不少于2020万元人民币的增持计划，这是中信银行上市以来的首次高管集体增持行动。贝塔品种增强弹性，兼具业绩弹性和估值弹性的品种具备“双击”潜力的银行。,券商中国,谢忠翔,东方财富网
2,81488484,601009.XSHG,A,E,601009,南京银行,XSHG,1904,2021-01-01 10:27:15,2021-01-01 10:27:30,0.999917030334,2.03976605917e-06,1,0.499960554933,1,0.31071100235,2021-01-01 10:27:34,上市以来首次！这家股份行14名董监高集体增持自家股票，什么情况？,又一家股份行董监高集体出手增持自家股票。2020年最后一天，中信银行公布现任高管增持该行股票进度。贝塔品种增强弹性，兼具业绩弹性和估值弹性的品种具备“双击”潜力的银行。,证券时报,,凤凰网
3,81488880,601009.XSHG,A,E,601009,南京银行,XSHG,1904,2021-01-01 10:55:01,2021-01-01 10:55:03,0.900996565819,0.000445700949058,1,0.450943983858,1,0.31071100235,2021-01-01 10:55:08,上市以来首次！中信银行14名董监高集体增持自家股票，什么情况？,中信银行披露了不少于2020万元人民币的增持计划，这是中信银行上市以来的首次高管集体增持行动。前三季度中信银行实现营业收入1491.7亿元，同比增长4.8%，实现归属于该行股东的净利润369.2亿元，同比下滑9.4%。,券商中国,,腾讯网
4,81494297,601009.XSHG,A,E,601009,南京银行,XSHG,1904,2021-01-01 17:28:22,2021-01-01 17:28:30,0.877128303051,0.121707804501,1,0.560271956027,0,0.136730386317,2021-01-01 17:28:32,南银理财总经理谈区域性理财子公司如何发展？干货满满！,“南银理财一成立就以建设‘协同高效、管理规范、经营稳健、国内领先’的全能型资产管理机构为目标，以服务国家、服务地方实体经济、服务人民对美好生活的向往为宗旨。”,和讯名家,,和讯网
5,81495468,601009.XSHG,A,E,601009,南京银行,XSHG,1904,2021-01-01 19:10:55,2021-01-01 19:10:56,0.999999046326,3.05937334133e-07,1,0.4999998291,1,0.614823661745,2021-01-01 19:10:56,上海金融科技创新监管试点第二批创新应用公示,为加快推进上海金融科技中心建设，落实《金融科技发展规划》，在人民银行总行的支持和指导下，上海金融科技创新监管试点工作稳步推进。在深入开展金融科技创新辅导的基础上，上海金融科技创新监管试点工作组对外公示上海市第二批5个创新应用。,中国证券报·中证网,,中证网
6,81498602,601009.XSHG,A,E,601009,南京银行,XSHG,1904,2021-01-02 04:36:21,2021-01-02 04:36:22,0.981209814548,0.0151081206277,1,0.505713027902,0,0.13242155388,2021-01-02 04:37:44,数字化升级：金融业加快生态布局,一场突如其来的新冠肺炎疫情，加速了银行业数字化转型步伐，催化了部分商业银行由开放平台建设向生态金融发展的战略布局。银行机构数字化升级进入全新阶段，建立在开放银行基础上的数字金融布局，正在成为传统金融机构未来发展的主流趋势。,贝果财经,,新浪财经
7,81504066,601009.XSHG,A,E,601009,南京银行,XSHG,1904,2021-01-02 14:33:03,2021-01-02 14:33:06,0.999957680702,3.08159505948e-05,1,0.500009656302,0,0.08706689924,2021-01-02 14:33:09,第二批！上海公示金融科技创新应用,随着首批金融科技监管沙盒项目的推进，上海公示了第二批入选项目。万联网记者注意到，央行上海总部官网显示，2020年12月31日，上海金融科技创新监管试点工作组对外公示上海市第二批5个创新应用。,万联网,罗艳,万联网
8,81504821,601009.XSHG,A,E,601009,南京银行,XSHG,1904,2021-01-02 15:41:55,2021-01-02 15:42:14,0.550796687603,0.443319827318,1,0.71871817112,1,0.576970484853,2021-01-02 15:42:14,南京银行林静然：主动融入双循环新发展格局 实现高质量可持续发展,站在这个继往开来的历史方位，我们将深入贯彻落实党的十九届五中全会精神，聚焦长三角一体化发展、长江经济带建设、自贸区建设等国家和区域战略，发挥自身多牌照综合化服务优势，强化金融服务支撑，主动融入双循环新发展格局。,,投资时报,搜狐财经
9,81504965,601009.XSHG,A,E,601009,南京银行,XSHG,1904,2021-01-02 15:57:14,2021-01-02 15:57:15,0.932593762875,0.0662888735533,1,0.532585754991,1,0.567671647668,2021-01-02 15:57:16,南京银行林静然：主动融入双循环新发展格局 实现高质量、高韧性的稳健可持续发展丨2021寄语,站在这个继往开来的历史方位，我们将深入贯彻落实党的十九届五中全会精神，聚焦长三角一体化发展、长江经济带建设、自贸区建设等国家和区域战略，发挥自身多牌照综合化服务优势，强化金融服务支撑，主动融入双循环新发展格局。,投资时报,,新浪财经
10,81505275,601009.XSHG,A,E,601009,南京银行,XSHG,1904,2021-01-02 16:21:29,2021-01-02 16:21:40,0.835415482521,0.0764454677701,1,0.494153209031,0,0.150490409136,2021-01-02 16:21:40,南京银行林静然：主动融入双循环新发展格局,站在这个继往开来的历史方位，我们将深入贯彻落实党的十九届五中全会精神，聚焦长三角一体化发展、长江经济带建设、自贸区建设等国家和区域战略，发挥自身多牌照综合化服务优势，强化金融服务支撑，主动融入双循环新发展格局。,投资时报,,腾讯网
11,81505834,601009.XSHG,A,E,601009,南京银行,XSHG,1904,2021-01-02 17:01:27,2021-01-02 17:01:28,0.0682989507914,0.909250497818,2,0.943399973214,1,0.937090261281,2021-01-02 17:01:28,南京银行林静然：主动融入双循环新发展格局 实现高质量、高韧性的稳健可持续发展,站在这个继往开来的历史方位，我们将深入贯彻落实党的十九届五中全会精神，聚焦长三角一体化发展、长江经济带建设、自贸区建设等国家和区域战略，发挥自身多牌照综合化服务优势，强化金融服务支撑，主动融入双循环新发展格局。,投资时报,,证券之星
12,81517597,601009.XSHG,A,E,601009,南京银行,XSHG,1904,2021-01-03 16:16:06,2021-01-03 16:16:37,0.995961844921,0.000524556962773,1,0.498505479423,0,0.0691386625171,2021-01-03 16:18:36,银行｜地产长效金融机制的内涵 ：《关于建立银行业金融机构房地产贷款集中度管理制度的通知》的点评,人民银行和银保监会发布《关于建立银行业金融机构房地产贷款集中度管理制度的通知》，建立银行业金融机构房地产贷款集中度管理制度。房地产贷款集中度要求由增量向存量推进，体现“房地产长效金融机制”建设推进。,新浪财经-自媒体综合,,新浪财经
13,81525493,601009.XSHG,A,E,601009,南京银行,XSHG,1904,2021-01-03 22:38:34,2021-01-03 22:38:35,0.828262209892,0.144203275442,1,0.558334380388,0,-0.168484267592,2021-01-03 22:38:38,德威新材承认违规担保：应收票据逾期金额增至8.7亿 仍有六大疑问待解,2020年12月30日德威新材回复关注函，承认存在违规担保事项。乾威电气营业总收入为25.54万元，净利润亏损80万元，纳税总额为5.3元。这一结论性的语句并未呈现整体论证过程，无关联关系的结论难以令人信服。,每日经济新闻,,新浪财经
14,81527102,601009.XSHG,A,E,601009,南京银行,XSHG,1904,2021-01-04 01:44:55,2021-01-04 01:44:55,0.749918878078,0.0756582990289,1,0.450617738068,0,0.025232219696,2021-01-04 01:44:57,招商南油17.67亿股限售股将解禁 1月8日上市流通,重新上市近一年，招商南油日前发布公告称，公司17.67亿股重新上市限售股将于2020年1月8日起上市流通。,证券日报,,金融界
