,newsID,secID,equType,assetClass,ticker,secShortName,exchangeCD,partyID,newsPublishTime,newsInsertTime,degreeProp1St,degreeProp2St,relatedCompanyDegree,relatedCompanyScore,sentiment,sentimentScore,updateTime,newsTitle,newsSummary,newsOriginSource,newsAuthor,newsPublishSite
1,81483980,600352.XSHG,A,E,600352,浙江龙盛,XSHG,907,2021-01-01 07:44:36,2021-01-01 07:44:55,0.123719252646,0.567870676517,2,0.62973030284,0,0.0287523448467,2021-01-01 07:44:59,浙江龙盛：融资净偿还2885.86万元，融资余额28.36亿元（12-31）,2020年12月31日浙江龙盛融资净偿还2885.86万元，融资余额28.36亿元,东方财富Choice数据,财智星,东方财富网
2,81558233,600352.XSHG,A,E,600352,浙江龙盛,XSHG,907,2021-01-04 13:29:29,2021-01-04 13:29:30,0.199576288462,0.58944439888,2,0.689232543111,0,-0.0505910098553,2021-01-04 13:29:35,【点评】[化学制品]浙江龙盛：：2020价格新低，2021触底反弹,2020年染分散染料一波三折，三次涨价三次跌价，第四季度触底四年价格新低。东盟和日本是中国纺织品服装主要出口目的地，RCEP协议将促进纺织品服装出口加大，国内染料需求增加。,七彩云电商,,益盟操盘手
3,81604290,600352.XSHG,A,E,600352,浙江龙盛,XSHG,907,2021-01-05 07:43:19,2021-01-05 07:43:23,0.12044377625,0.575672209263,2,0.635894097388,1,0.695094885677,2021-01-05 07:43:42,浙江龙盛：融资净买入778.47万元，融资余额28.44亿元（01-04）,2021年1月4日浙江龙盛融资净买入778.47万元，融资余额28.44亿元,东方财富Choice数据,财智星,东方财富网
4,81632991,600352.XSHG,A,E,600352,浙江龙盛,XSHG,907,2021-01-05 13:46:18,2021-01-05 13:46:20,0.985634744167,0.000968712149188,1,0.493786084233,0,0.065715046227,2021-01-05 13:46:20,快讯：染料板块午后拉升 浙江龙盛、七彩化学涨3%,染料板块午后拉升，截至发稿，浙江龙盛、七彩化学涨3%，闰土股份、建新股份等跟涨。,新浪财经,,新浪财经
5,81652989,600352.XSHG,A,E,600352,浙江龙盛,XSHG,907,2021-01-05 18:33:39,2021-01-05 18:33:46,0.999322533607,0.000664242252242,1,0.500325509056,0,0.0848141998053,2021-01-05 18:33:49,地产二代沉沦“网游”记|进深,陈建成坦言，“我不反对发展房地产，但是国家发展的重心应该是制造业、实体经济。”卧龙地产营收“大跳水”，同比下降32.13%至19.21亿元，净利润同比下降11.5%至5.1亿元。卧龙地产，被浙江龙盛“盯”上了。,进深News,,乐居
6,81816309,600352.XSHG,A,E,600352,浙江龙盛,XSHG,907,2021-01-08 07:40:34,2021-01-08 07:40:35,0.12044377625,0.575672209263,2,0.635894097388,1,0.695094885677,2021-01-08 07:40:37,浙江龙盛：融资净买入2232.89万元，融资余额28.67亿元（01-07）,2021年1月7日浙江龙盛融资净买入2232.89万元，融资余额28.67亿元,东方财富Choice数据,财智星,东方财富网
7,81870168,600352.XSHG,A,E,600352,浙江龙盛,XSHG,907,2021-01-08 18:51:52,2021-01-08 18:51:56,0.664719223976,0.333754897118,1,0.666114509106,0,0.0616465374827,2021-01-08 19:29:17,行业热议安全管理水平提升之策,第四届石油和化工行业安全管理高层论坛通过线上直播的方式在中国化工报社举办。中国化工报社总编辑张健秋在致辞中表示，过去5年，石油和化工行业的本质安全水平、安全管理水平都有大幅提升。,中国化工报,,新浪财经
8,81892552,600352.XSHG,A,E,600352,浙江龙盛,XSHG,907,2021-01-09 09:42:04,2021-01-09 09:42:05,0.807573437691,0.167638674378,1,0.571425393224,0,-0.0284548461437,2021-01-09 09:56:36,卧龙地产遭遇公募集中退场幕后：消失的转型热点，远去的业绩光辉,来自浙江上虞的卧龙地产，是一家成立于1994年的老牌房企。卧龙地产借壳东北的水泥制造企业S*ST丹江上市，后者早在1999年4月15日登陆上交所主板。净利润25.32亿元，同比增长36.23%。,21世纪经济报道,,21世纪经济报道
9,82071932,600352.XSHG,A,E,600352,浙江龙盛,XSHG,907,2021-01-13 07:43:52,2021-01-13 07:43:53,0.123719252646,0.567870676517,2,0.62973030284,0,-0.0188383281231,2021-01-13 07:44:14,浙江龙盛：融资净偿还4504.07万元，融资余额28.38亿元（01-12）,2021年1月12日浙江龙盛融资净偿还4504.07万元，融资余额28.38亿元,东方财富Choice数据,财智星,东方财富网
10,82144685,600352.XSHG,A,E,600352,浙江龙盛,XSHG,907,2021-01-14 07:40:34,2021-01-14 07:40:51,0.123719252646,0.567870676517,2,0.62973030284,0,-0.0188383281231,2021-01-14 07:40:59,浙江龙盛：融资净偿还574.1万元，融资余额28.33亿元（01-13）,2021年1月13日浙江龙盛融资净偿还574.1万元，融资余额28.33亿元,东方财富Choice数据,财智星,东方财富网
